"Protein","AOV_p","LMM_AIC","LMM_p","ICC","Used_LM"
"Q01080",NA,-23.6331895133239,2.77529155870754e-05,NA,TRUE
"Q01574",NA,-32.9836188051786,0.000121072956509816,NA,TRUE
"Q01939",NA,-65.5789868482195,8.06712944998315e-05,NA,TRUE
"Q02256",NA,NA,NA,NA,TRUE
"Q02629",NA,NA,NA,NA,TRUE
"Q02933",NA,57.6881128428858,0.103083159912556,NA,TRUE
"Q03010",NA,10.3111421333822,0.413261477565582,NA,TRUE
"Q03281",NA,NA,NA,NA,TRUE
"Q03533",NA,NA,NA,NA,TRUE
"Q03579",NA,67.3211507124115,0.330236741281173,NA,TRUE
"Q03690",NA,-54.2558751060154,5.1477128116208e-05,NA,TRUE
"Q03954",NA,37.2763751058743,0.392798821139285,NA,TRUE
"Q04053",NA,-22.1790445223928,0.211712176239876,NA,TRUE
"Q04062",NA,NA,NA,NA,TRUE
"Q04500",NA,-50.8184990615852,3.59231198253434e-07,NA,TRUE
"Q04697",NA,NA,NA,NA,TRUE
"Q04792",NA,-22.4155798351168,1.02809230015823e-07,NA,TRUE
"Q04847",NA,NA,NA,NA,TRUE
"Q05568",NA,-14.3977410551763,0.320171738312702,NA,TRUE
"Q05583",NA,55.1482834589842,0.151531835034391,NA,TRUE
"Q05775",NA,-33.2521510223098,0.00275596715751847,NA,TRUE
"Q05911",NA,NA,NA,NA,TRUE
"Q05979",NA,NA,NA,NA,TRUE
"Q06406",NA,NA,NA,NA,TRUE
"Q06696",NA,4.81885736741701,0.210626931106668,NA,TRUE
"Q06708",NA,-22.111933507216,4.88786161276161e-05,NA,TRUE
"Q07527",NA,66.7678071710502,0.117135759669525,NA,TRUE
"Q07551",NA,-23.227876176335,0.00460236493991393,NA,TRUE
"Q07688",NA,40.5885013558189,0.0592800500328278,NA,TRUE
"Q07897",NA,59.9028039506575,0.341394612488418,NA,TRUE
"Q07953",NA,-22.4931616126843,0.0342899255550656,NA,TRUE
"Q08220",NA,-60.7147237792256,6.38670876024998e-05,NA,TRUE
"Q08647",NA,NA,NA,NA,TRUE
"Q08742",NA,NA,NA,NA,TRUE
"Q12000",NA,-16.887271745332,9.55333053309333e-05,NA,TRUE
"Q12078",NA,-13.1298425475062,9.52545099457884e-05,NA,TRUE
"Q12250",NA,NA,NA,NA,TRUE
"Q12355",NA,NA,NA,NA,TRUE
"Q12363",NA,-30.5067763945672,0.00286406664944792,NA,TRUE
"Q12434",NA,-35.3454533369383,0.000755051517129412,NA,TRUE
"Q12746",NA,NA,NA,NA,TRUE
"Q99382",NA,-2.73987428589276,0.0989014661003289,NA,TRUE
"Q99383",NA,-35.2623961420245,0.00576055450269172,NA,TRUE
"Q9P305",NA,15.4435942729538,0.278004548403403,NA,TRUE
