"Selected_Proteins"
"Q12746"
"Q9P305"
"Q07551"
"P25369"
"P09436"
"P53918"
"P38764"
"P39704"
"P39743"
"P38174"
"P32327"
"P49089"
"P38081"
"P38636"
"P36136"
"P17423"
"P38113"
"Q03690"
"P40452"
"Q04500"
"P41807"
"P52553"
"P53628"
"P0CS90"
"P48439"
"P25616"
"Q00402"
"P18963"
"P38821"
"P53731"
"P35845"
"P54783"
"P38207"
"P15442"
"P39567"
"P07285"
"P10356"
"P40043"
"Q05775"
"P27614"
"P47177"
"P07213"
"P32521"
"P07260"
"P14832"
"P13663"
"P43561"
"P00830"
"Q05979"
"P15700"
"P38882"
"P32618"
"P19073"
"Q99382"
"Q03954"
"Q04697"
"P25340"
"O43137"
"Q05583"
"Q04062"
"Q01939"
"P32626"
"P40089"
"P38630"
"P38074"
"Q12078"
"P41800"
"P32335"
"Q06406"
"P38736"
"P38344"
"P43613"
"Q02629"
"P43593"
"P23594"
"Q05568"
"Q01574"
"P54858"
"P38626"
"P07284"
"P38288"
"P40466"
"Q08647"
"P28707"
"Q12250"
"P06634"
"Q08220"
"P32386"
"Q03281"
"P36057"
"Q08742"
"P33755"
"P37267"
"P29366"
"Q02256"
"P23503"
"Q03533"
"P07258"
"P49954"
"Q06708"
"Q06696"
"P38144"
"P16370"
"Q02933"
"P39723"
"P53617"
"P40348"
"P37292"
"Q04792"
"P37296"
"P07143"
"P53303"
"P47130"
"P27616"
"Q01080"
"Q12355"
"Q07897"
"P53720"
"P32366"
"P49166"
"Q12363"
"P53829"
"P17106"
"Q99383"
"P80967"
"P34760"
"Q07527"
"P25608"
"Q05911"
"P47001"
"P40072"
"P32476"
"P32487"
"P41811"
"P32337"
"P39929"
"P53881"
"P25372"
"P47082"
"Q04847"
"Q03010"
"P23292"
"Q07953"
"Q03579"
"P38784"
"Q04053"
"Q12000"
"Q12434"
"Q07688"
"P22579"
